Français	English
Deux pèle-pomme en service - 1 avec étrogneur 1 sans	Two peelers in use — 1 with corer, 1 without
Difficile à régler - les réglages se perdent, il faut tester pour trouver la bonne épaisseur	Difficult to adjust — settings slip, must test to find the right thickness
Difficulté de trouver le cran pour embrayer	Difficulty finding the notch to engage
Du matériel non adapté, à ras du sol	Inadequate equipment at floor level
Décoincer les bacs à la main est très difficile - vu dans toutes les cuisines de collectivité	Releasing containers by hand is very difficult — seen in all catering kitchens
Découpoir Etoile - Le Ritz	Star Cutter - Le Ritz
Découpoirs lisses ou cannelés	Plain or fluted cutters
Démontable pour nettoyage	Dismantles for cleaning
Echelle ERGO	ERGO Rack Trolley
Ecope et écumoire	Skimmer & Ladle
Empilements sur la zone de travail, matériel inadéquat - Besoin de mise à hauteur	Stacks on the work area, inadequate equipment — need for height adjustment
Encombrement - Occupe feux, fours, vario cookings, bains marie... Loin du passe	Takes up burners, ovens, vario cookers, bains-marie… Far from the pass
Entonnoir à poivre	Pepper Mill Funnel
Espaces étroits, besoin de compacité	Narrow spaces — need for compactness
Etoile détachable interchangeable qui permet de voir le résultat	Detachable interchangeable star that lets you see the result
Evanescence	Evanescence
Exprimer l'amour avec un gâteau de voyage pour l'exposition universelle 2025 au Japon	Express love with a travel cake for the 2025 World Expo in Japan
Facilite la dépose sur les cuviers - pas de port de charge	Eases placing on sink units — no lifting
Fleurs - Rosewood Londres	Flowers - Rosewood London
Food Line SIRHA 2025	Food Line SIRHA 2025
Gachipain	Bread Slicer
Gobelets sans plastique Alpha	Alpha Plastic-Free Cups
Grands outils	Large Tools
Gravity	Gravity
Identification du contenu et traçabilité des plats par jet d'encre nettoyable	Content identification and dish traceability via washable ink jet
Identifier visuellement et olfactivement son café	Identify your coffee visually and by smell
Il faut attendre que le jus passe	You have to wait for the liquid to strain through
Il faut nettoyer les cordes à chaque découpe - chiffons, papier, doigts, spatules qui abiment les cordes...	Wires must be cleaned after each cut — cloths, paper, fingers, spatulas that damage the wires...
Il faut parfois se mettre à deux pour soulever haut les sacs remplis (25 kg par sac constaté)	Sometimes two people needed to lift heavy bags (25 kg per bag observed)
Il faut soulever la boite de conserve pour laisser le jus s'écouler	The tin can must be lifted to let the liquid drain
Il faut une clé pour démonter la lame qui étrogne - pas utilisé	A key is needed to remove the coring blade — rarely used
Il faut être 2 pour verser et laisser filtrer	Two people needed to pour and strain
Implantations	Layouts
Impression 3D métal, robuste et ultra précise	Metal 3D print — robust and ultra-precise
Impression 3D pour validation client	3D print for client validation
Initialement un claustra avec office boisson simple	Initially a partition with a simple drinks station
Inspiration - La suite de Fibonacci	Inspiration — The Fibonacci sequence
Intégration des piliers, ajout d'un espace viennoiserie, armoire pour les glaces	Integration of pillars, addition of a pastry area, ice cream cabinet
L'amour - Exposition universelle 2025 au Japon	Love - World Expo 2025 Japan
L'espace initial	Initial Space
L'implantation	The layout
L'importance de l'eau	The importance of water
La cave	The cellar
La dernière touche sur l'assiette - Emincer	The finishing touch on the plate — Slicing
La dernière touche sur l'assiette - Raper	The finishing touch on the plate — Grating
La gamme	Range
La gamme produits	Product Range
La main tape contre le plan de travail, il faut travailler au-dessus du vide	Hand hits the worktop — must work over the edge
La peinture s'écaille	Paint chips off
La proposiion retenue	Selected Proposal
La proposition retenue	Selected Proposal
La réalisation	The Making
La verrière	The glass roof
Le Concept	The Concept
Le Meurice	Le Meurice
Le Produit	The Product
Le brief	Brief
Le chariot ne passe pas sous les cuves dans les batteurs	The trolley doesn't fit under the mixer bowls
Le concept	The Concept
Le couloir	The corridor
Le découpoir	Cutter
Le futur stand dans lequel intégrer le Food line	The future stand to integrate the Food Line
Le magasin avant transformation	The store before transformation
Le module Liquides (fusionnera avec le module universel)	Liquid module (will merge with universal module)
Le module couvert - Goulottes affleurantes pour ne pas gêner le plateau	Cutlery module — flush chutes that don't obstruct the tray
Le module petite vaisselle (bols, ramequins) à niveau constant	Small crockery module (bowls, ramekins) at constant level
Le module plateau, à niveau constant	Tray module at constant level
Le module universel	Universal module
Le module universel avec récupération des liquides	Universal module with liquid collection
Le modèle 3D	3D Model
Le moule	Mould
Le produit en situation, déjà adopté par les convives et par les opérateurs	The product in use — already adopted by diners and operators
Le produit final	Final Product
Le proposition retenue	Selected Proposal
Le résultat	Result
Le sas	The anteroom
Le serre-joint n'est pas adapté à tous les plans de travail	The clamp doesn't fit all worktops
Le stand	The Stand
Le tri des couverts est fastidieux pour les opérateurs en laverie - Prétrempage de fortune souvent observé	Sorting cutlery is tedious for dishwashing staff — makeshift pre-soaking often observed
Les Propositions	Proposals
Les axes de travail	Working principles
Les cercles inox, un produit d'identité	Stainless steel rings — a signature product
Les concepts	Concepts
Les crochets cassent	Hooks break
Les cuves, de tailles différentes, ne sont pas toutes calées	Bowls of different sizes are not all secured
Les embouts sont cassés	The tips are broken
Les kits de transport cassent	Transport kits break
Les manches en U ne tournent pas dans la main mais sont blessants	U-shaped handles don't rotate in the hand and cause injury
Les manches métalliques qui restent dans les cuves conduisent la chaleur	Metal handles left in bowls conduct heat
Les mandolines utilisées en production ne sont pas esthétiques pour aller en salle	Production mandolines are not attractive enough to use tableside
Les matériaux choisis pour le stand	Materials chosen for the stand
Les modèles 3D	3D Models
Les modèles low cost cassent (rachat fréquent)	Low-cost models break frequently (frequent repurchase)
Les modèles low cost font un bruit de quincaillerie	Low-cost models sound like rattling hardware
Les moules	Moulds
Les opérateurs travaillent au sol car le plan de travail est trop haut	Operators work on the floor because the worktop is too high
Les passe-sauce ne tiennent pas droit dans les casseroles	Strainers don't stand upright in saucepans
Les patins se perdent	The feet get lost
Les poignées fondent cassent et tournent sur l'outil	Handles melt, break and rotate on the tool
Les poignées isolent du froid et empêchent les mains de coller au métal lors d'un passage en cellule de refroidissement	Handles insulate from cold and prevent hands sticking to metal in the blast chiller
Les poubelles sont lourdes, parfois portées, positions non ergonomiques	Bins are heavy, sometimes carried — non-ergonomic postures
Les propositions	Proposals
Les réglages ne sont pas intuitifs et inutilisés	Settings are not intuitive and go unused
Les résultats	Results
Les ventouses n'adhèrent pas bien au plan de travail	Suction cups don't grip the worktop well
Les vide-marmite sont lourds et font mal au poignet	Pot scrapers are heavy and hurt the wrist
Libère le cuisinier pendant la filtration	Frees the cook during straining
Loi Egalim - Disparition des barquettes plastiques en restauration collective	Egalim Law — End of plastic trays in catering
Luna	Luna
Mandoline	Mandoline
Manipulations intenses	Intense manoeuvring
Matériau contact alimentaire et qui résiste aux températures hautes	Food-contact material resistant to high temperatures
Matériel non adapté pour les transporter jusqu'au collecteur	Inadequate equipment to transport to the collection point
Mise à hauteur non suffisante et difficile	Height adjustment insufficient and difficult
Modulaire, s'adapte à tous les espaces et aux besoins de l'organisation du site	Modular — adapts to all spaces and site organisation needs
Module couverts	Cutlery module
Modules de débarrassage Harmonie	Harmonie Clearing Modules
Montage en usine, prêt à partir	Factory assembly — ready to ship
Moodboard client	Client moodboard
Moule ancien à baba - Maxime Frédéric	Vintage Baba Mould - Maxime Frédéric
Moule coquillage - Le Georges V	Shell Mould - Le Georges V
Moules à entremets - SIRHA	Entremet Moulds - SIRHA
Nettoyage des anciennes étiquettes de production fastidieux	Removing old production labels is tedious
Nécessité de maintenir les préparations à une température précise	Need to keep preparations at a precise temperature
Outils tapotés sur les cuves - bruyant et abime les bords de cuve	Tools tapped on bowls — noisy and damages bowl edges
Pain points	Pain points
Pas d'outil dédié, ciseaux, couteaux, couvercles, manches de louche...	No dedicated tool — scissors, knives, lids, ladle handles...
Pas de place dédiée à la main pour tenir le pèle-pomme	No dedicated handhold to grip the peeler
Pas de poignée dédiée, instabilité de la cuve	No dedicated handle — bowl instability
Passages étroits, besoin de compacité	Narrow passages — need for compactness
Passe sous les cuves dans les batteurs	Fits under mixer bowls
Passe sous les sauteuses basculantes	Fits under tilting sauté pans
Peigne pour guitare	Guitar Wire Cleaner
Petit fouet à tête plate idéal pour mélanger et racler les purées dans les bacs ou les petites cuves	Small flat-head whisk ideal for mixing and scraping purées in trays or small bowls
Peu de prise pour les mains, manipulations intenses, passages de seuil difficiles, casse des glissières…	Poor hand grip, intense manoeuvring, difficult threshold crossings, broken slides…
Pince à décoincer les bacs	Container Release Pliers
Plus d'infos à venir prochainement	More information coming soon
Plusieurs formats d'entrée	Multiple entry formats
Pochette transparente magnétique pour l'identification de la production	Transparent magnetic pocket for production identification
Poignet dans l'alignement	Wrist in alignment
Poignet dans l'alignement de l'avant bras	Wrist aligned with the forearm
Poignée intermédiaire - Ne conduit pas la chaleur ni le froid	Intermediate handle — conducts neither heat nor cold
Poignée intégrée pour des déplacements assurés	Integrated handle for secure movement
Polyvalence - Berceaux interchangeables facilement cuve -bacs GN	Versatility — easily interchangeable cradles for bowls and GN trays
Port de charges importantes - des piles de bacs inox lourdes et encombrantes	Heavy loads — heavy and bulky stacks of stainless steel containers
Port de charges importantes très sollicitantes pour le dos et les articulations	Heavy loads putting strain on the back and joints
Portes à l'avant ou à l'arrière selon la configuration du site	Doors at front or back depending on site configuration
Positions non ergonomiques	Non-ergonomic postures
Positions non ergonomiques et port de charges importantes - 2 opérateurs nécessaires	Non-ergonomic postures and heavy loads — 2 operators needed
Positions non ergonomiques quand la cuve est sur le plan de travail, trop haut	Non-ergonomic postures when bowl is on the worktop — too high
Possibilité d'incliner la cuve pour travailler	Ability to tilt the bowl for work
Postures non ergonomiques (poignet, épaules, ...)	Non-ergonomic postures (wrist, shoulders...)
Presque vides, les siphons flottent et tombent, rien n'est prévu pour les maintenir	Almost empty, siphons float and fall — nothing is designed to hold them
Proposition 01	Proposal 01
Proposition 02	Proposal 02
Proposition 03	Proposal 03
Proposition 04	Proposal 04
Proposition sélectionnée	Selected Proposal
Proto impression 3D pour validation du client	3D prototype for client validation
Pré-sélection du client	Client pre-selection
Pèle-pomme	Apple Peeler
Relais Desserts Chocolats 2024-03-15	Relais Desserts Chocolates 2024-03-15
Remplir un moulin à poivre est fastidieux, en salle comme en cuisine, on en met partout	Filling a pepper mill is tedious — in the dining room or kitchen, pepper goes everywhere
Reprendre les codes architecturaux de la verrière et de la fresque	Take inspiration from the architectural codes of the glass roof and fresco
Reproduire le bâiment Fairmont Le Montreux Palace	Reproduce the Fairmont Le Montreux Palace building
Respect des préconisations de hauteurs de travail ergonomiques	Compliance with ergonomic working height recommendations
Ressusciter un ancien moule Trottier, nos racines	Revive a vintage Trottier mould — our roots
Retravail du logo - associé au zéro plastique	Reworked logo — associated with zero plastic
Ridelle amovible pour ne pas devoir porter les sacs poubelles lourds trop haut	Removable side rail to avoid lifting heavy bin bags too high
Rien n'est prévu pour récupérer les liquides (verres d'eau, soupe, ...)	Nothing is designed to collect liquids (water glasses, soup...)
Risque de chute, notamment dans les virages	Risk of tipping, especially on bends
Robuste, il permet de fouler sur la casserole	Robust — allows pressing directly on the saucepan
Roues souvent cassées, voilées, tubes déchirés, roulage difficile	Wheels often broken, buckled, tubes torn — difficult to roll
Réaliser un graphisme Matfer Bourgeat pour les gobelets Alpha, premiers gobelets sans plastique	Create a Matfer Bourgeat design for Alpha cups — the first plastic-free cups
Réaliser une œuvre d'art représentative de notre savoir faire pour l'évènement Les Chefs à St-Tropez	Create an artwork representing our expertise for the Les Chefs à St-Tropez event
S'adapte à tous les diamètres de moulins	Fits all mill diameters
S'adapte à toutes les casseroles de 14 à 24 cm	Fits all saucepans from 14 to 24 cm
Solutions système D pour travailler à hauteur	Makeshift solutions to work at the right height
Soupapes de plusieurs couleurs pour identifier facilement le contenu	Multi-colour valves for easy content identification
Souvent les pommes cassent en fin de course	Apples often break at the end of the stroke
Souvent utilisé sans serre-joint. Sans celui-ci, le pèle-pomme glisse et bouge sur le plan de travail	Often used without clamp — slides and moves on the worktop
Stockage sur étagères - Nécessité de les transporter jusqu'à la zone de travail copie	Shelf storage — need to transport to the work area
Support pour passe-sauce	Sauce Strainer Stand
Système D	Makeshift solution
Systèmes D observés	Makeshift solutions observed
Sésame - Bacs sous vide partiel	Sésame - Partial Vacuum Containers
Technologie Datamatrix pour identification et traçabilité	Datamatrix technology for identification and traceability
Tirage au vide partiel breveté	Patented partial vacuum sealing
Torsion du poignet douloureuse	Painful wrist twisting
Toutes les tailles de production	All production sizes
Toutes tailles de découpoirs	All cutter sizes
Travailler en format bac GN	Work in GN tray format
Travailler à hauteur, directement sur le chariot - pas de transfert	Work at the right height directly on the trolley — no transfer
Très faciles à dépiler	Very easy to unstack
Ultra-simplicité, pas de réglage, pas de pièces superflues	Ultra-simplicity — no adjustment, no superfluous parts
Un attelage de découpoirs pour accélérer les productions	A cutter frame to speed up production
Un attelage de découpoirs toutes tailles qui accélère les productions et ne blesse pas la main	A cutter frame in all sizes that speeds up production and doesn't hurt the hand
Un chariot ergonomique ultracompact polyvalent	An ultra-compact, versatile ergonomic trolley
Un chariot à glissières ergonomique, robuste, maniable et identifiable	An ergonomic, robust, manoeuvrable and identifiable slide rack trolley
Un chariot à hauteur de dépose ergonomique et poignée ergonomique	A trolley with ergonomic drop height and ergonomic handle
Un choqueur pour tapoter contre les cuves silencieusement sans les détériorer	A bumper to tap bowls silently without damaging them
Un dispositif compact pour le passe qui maintient les siphons au chaud et qui les stabilise	A compact pass device that keeps siphons warm and stable
Un débrayage ambidextre intuitif à proximité de la main	Intuitive ambidextrous release close to the hand
Un décor italien mélant tradition et modernisme	An Italian design blending tradition and modernity
Un découpoir impression 3D métal	A metal 3D-printed cutter
Un entonnoir à poivre universel	A universal pepper mill funnel
Un geste simple qui ne fait pas mal aux mains	A simple action that doesn't hurt the hands
Un graphisme qui évoque les particules en mouvement, la moisson	A design evoking particles in motion, the harvest
Un joli nuancier pour magnifier l'ambiance du site	A beautiful colour palette to enhance the site's atmosphere
Un kit de transport simple et robuste	A simple and robust transport kit
Un marquage laser pour personnaliser les couverts	Laser engraving to personalise cutlery
Un outil dédié qui décoince les bacs sans effort	A dedicated tool that releases containers effortlessly
Un outil ergonomique pour décoincer les bacs inox	An ergonomic tool to release stainless steel containers
Un outil esthétique pour la dernière touche du chef sur l'assiette - facile à nettoyer et à régler	An elegant tool for the chef's finishing touch — easy to clean and adjust
Un outil léger ergonomique et alimentaire pour vider les sauteuses et portionner	A lightweight, ergonomic, food-safe tool for emptying sauté pans and portioning
Un outil simple pour nettoyer les fils de guitare facilement	A simple tool to clean guitar wires easily
Un process automatisable	An automatable process
Un produit modulaire adaptable à l'espace	A modular product adaptable to the space
Un produit qui facilite le débarrassage participatif du plateau pour le convive et pour l'opérateur, adaptable	A product that facilitates participatory tray clearing for both diner and operator — adaptable
Un pèle-pomme simple, intuitif et robuste	A simple, intuitive and robust apple peeler
Un support mural pour faciliter le rangement	Wall bracket for easy storage
Un support pour passe-sauce qui permet de ne pas le tenir et qui protège des éclaboussures	A strainer stand that holds itself and protects from splashing
Un système identification de zone simple	A simple zone identification system
Un transfert aisé depuis la table de tri Harmonie	Easy transfer from the Harmonie sorting table
Un tube oblong pou une meilleure préhension	Oblong tube for better grip
Une assiette élégante qui met en valeur les dressages	An elegant plate that showcases plating
Une expérience sensorielle qui met en appétit et aide à choisir son café d'exception	A sensory experience that whets the appetite and helps choose the perfect coffee
Une gamme de grands outils ergonomiques et robustes	A range of ergonomic and robust large tools
Une gamme ergonomique et robuste	An ergonomic and robust range
Une lame étrogneuse modulaire	Modular coring blade
Une ligne de débarrassage complète, compréhensible, sans rampe	A complete, intuitive clearing line — no ramp
Une patte qui tient la tige pour éviter qu'elle soit décalée quand on revis la tête	A clip that holds the stem to prevent it shifting when replacing the top
Une pochette transparente magnétique pour les feuilles de production	A transparent magnetic pocket for production sheets
Une poignée ergonmique adaptée à toutes les tailles	An ergonomic handle suited to all sizes
Une poignée ergonomique	An ergonomic handle
Une poignée pagaie pour une préhension parfaite	Paddle grip for perfect handling
Une production accélérée	Accelerated production
Une préhension grandement facilitée en office...	Greatly improved handling in the kitchen...
Une seule personne requise	Only one person needed
Une soupape témoin d'inviolabilité	A tamper-evident valve
Une température souvent imprécise	An often imprecise temperature
Une échelle ergonomique, maniable, robuste et identifiable	An ergonomic, manoeuvrable, robust and identifiable rack trolley
Une œuvre remarquée et signée par les plus grands chefs étoilés	A celebrated artwork signed by the greatest Michelin-starred chefs
Utilisation d'une boite de conserve, souvent rouillée	Using a tin can, often rusty
Utiliser un découpoir unitaire - long et fait mal à la main	Using a single cutter — slow and hurts the hand
Validation par les utilisateurs finaux	Validated by end users
Variante	Variant
Version écumoire	Skimmer version
Vitrine chocolats	Chocolate display case
Vitrine neutre viennoiseries	Neutral pastry display case
Vitrines Le Jardin Sucré	Display Cases - Le Jardin Sucré
acf 112 8by10	acf 112 8by10
un système simple d'identification de zone chaude - zone froide	A simple hot zone — cold zone identification system
Ça éclabousse	It splashes
Œuf de Pâques - Bernachon	Easter Egg - Bernachon
Œuvre d'art - Les Chefs à St-Tropez 2026	Art Piece - Les Chefs à St-Tropez 2026
